player_id,fullname,height,weight,position,from_year,to_year,birth_date,hall_of_fame
alcorga01,Gary Alcorn,6-9,225,C,1960,1961,1936-10-08,n
aldamsa01,Santi Aldama,6-11,224,F,2022,2025,2001-01-10,n
aldemfu01,Furkan Aldemir,6-10,240,F-C,2015,2015,1991-08-09,n
aldrico01,Cole Aldrich,6-11,250,C,2011,2018,1988-10-31,n
aldrila01,LaMarcus Aldridge,6-11,250,F-C,2007,2022,1985-07-19,n
aleksch01,Chuck Aleksinas,6-11,260,C,1985,1985,1959-02-26,n
alexacl01,Cliff Alexander,6-8,245,F,2016,2016,1995-11-16,n
alexaco01,Cory Alexander,6-1,185,G,1996,2005,1973-06-22,n
alexaco02,Courtney Alexander,6-5,205,G,2001,2003,1977-04-27,n
alexaga01,Gary Alexander,6-7,240,F,1994,1994,1969-11-01,n
alexajo01,Joe Alexander,6-8,230,F,2009,2010,1986-12-26,n
alexaky01,Kyle Alexander,6-11,220,F,2020,2020,1996-10-21,n
alexatr01,Trey Alexander,6-4,185,G,2025,2025,2003-05-02,n
alexaty01,Ty-Shon Alexander,6-3,195,G,2021,2021,1998-07-16,n
alexavi01,Victor Alexander,6-9,265,C-F,1992,2002,1969-08-31,n
alexani01,Nickeil Alexander-Walker,6-5,205,G,2020,2025,1998-09-02,n
alforst01,Steve Alford,6-2,183,G,1988,1991,1964-11-23,n
alkinra01,Rawle Alkins,6-5,225,G,2019,2019,1997-10-29,n
allenbi01,Bill Allen,6-8,205,C-F,1968,1968,,n
allenbo01,Bob Allen,6-9,205,F,1969,1969,1946-07-17,n
allengr01,Grayson Allen,6-4,198,G,2019,2025,1995-10-08,n
allenja01,Jarrett Allen,6-11,243,C-F,2018,2025,1998-04-21,n
allenje01,Jerome Allen,6-4,184,G,1996,1997,1973-01-28,n
allenka01,Kadeem Allen,6-1,200,G,2018,2020,1993-01-15,n
allenla01,Lavoy Allen,6-9,260,F-C,2012,2017,1989-02-04,n
allenlu01,Lucius Allen,6-2,175,G,1970,1979,1947-09-26,n
allenma01,Malik Allen,6-10,255,F-C,2002,2011,1978-06-27,n
allenra01,Randy Allen,6-8,220,F,1989,1990,1965-01-26,n
allenra02,Ray Allen,6-5,205,G,1997,2014,1975-07-20,y
allenti01,Timmy Allen,6-6,210,F,2024,2024,2000-01-09,n
allento01,Tony Allen,6-4,213,G-F,2005,2018,1982-01-11,n
allenwi01,Willie Allen,6-6,230,F,1972,1972,1949-02-08,n
allisod01,Odis Allison,6-6,195,F,1972,1972,1949-10-02,n
allrela01,Lance Allred,6-11,250,C,2008,2008,1981-02-02,n
allumda01,Darrell Allums,6-9,220,F,1981,1981,1958-09-12,n
almonmo01,Morris Almond,6-6,225,G,2008,2012,1985-02-02,n
alstode01,Derrick Alston,6-11,225,F,1995,1997,1972-08-20,n
alstora01,Rafer Alston,6-2,171,G,2000,2010,1976-07-24,n
alumape01,Peter Aluma,6-10,260,C,1999,1999,1973-04-23,n
alvarjo01,Jose Alvarado,6-0,179,G,2022,2025,1998-04-12,n
amaecjo01,John Amaechi,6-10,270,C-F,1996,2003,1970-11-26,n
amayaas01,Ashraf Amaya,6-8,230,F,1996,1997,1971-11-23,n
aminual01,Al-Farouq Aminu,6-8,220,F,2011,2021,1990-09-21,n
amundlo01,Lou Amundson,6-9,220,F-C,2007,2016,1982-12-07,n
anderbo01,Bob Anderegg,6-3,200,F-G,1960,1960,1937-08-24,n
anderch01,Chris Andersen,6-10,245,C-F,2002,2017,1978-07-07,n
anderda03,David Andersen,6-11,245,C,2010,2011,1980-06-23,n
anderal01,Alan Anderson,6-6,220,G-F,2006,2017,1982-10-16,n
anderan01,Andy Anderson,6-2,184,G,1968,1970,1945-07-06,n
anderan02,Antonio Anderson,6-6,215,G,2010,2010,1985-06-05,n
andercl01,Cliff Anderson,6-2,200,G-F,1968,1971,1944-09-07,n
anderda01,Dan Anderson,6-10,230,C,1968,1969,1943-02-15,n
anderda02,Dan Anderson,6-2,185,G,1975,1976,1951-01-01,n
anderde01,Derek Anderson,6-5,194,G,1998,2008,1974-07-18,n
anderdw01,Dwight Anderson,6-3,185,G,1983,1983,1960-12-28,n
anderer01,Eric Anderson,6-9,220,F,1993,1994,1970-05-26,n
andergr01,Greg Anderson,6-10,230,F-C,1988,1998,1964-06-22,n
anderjj01,J.J. Anderson,6-8,195,F,1983,1985,1960-09-23,n
anderja01,James Anderson,6-6,213,G-F,2011,2016,1989-03-25,n
anderje01,Jerome Anderson,6-5,195,G,1976,1977,1953-10-09,n
anderju01,Justin Anderson,6-6,230,G,2016,2022,1993-11-19,n
anderke01,Kenny Anderson,6-1,168,G,1992,2005,1970-10-09,n
anderki01,Kim Anderson,6-7,200,F,1979,1979,1955-05-12,n
anderky01,Kyle Anderson,6-9,230,F-G,2015,2025,1993-09-20,n
andermi01,Michael Anderson,5-11,184,G,1989,1989,1966-03-23,n
anderni01,Nick Anderson,6-6,205,F-G,1990,2002,1968-01-20,n
anderri01,Richard Anderson,6-10,240,F-C,1983,1990,1960-11-19,n
anderro01,Ron Anderson,6-7,215,F-G,1985,1994,1958-10-15,n
anderry01,Ryan Anderson,6-9,240,F,2009,2020,1988-05-06,n
andersh01,Shandon Anderson,6-6,208,F-G,1997,2006,1973-12-31,n
anderwi01,Willie Anderson,6-7,190,G-F,1989,1997,1967-01-08,n
anderwa01,Wally Anderzunas,6-7,220,C-F,1970,1970,1946-01-11,n
andrima01,Martynas Andriuškevičius,7-2,240,C,2006,2006,1986-03-12,n
anieldo01,Don Anielak,6-7,190,F,1955,1955,1930-11-01,n
anigbik01,Ike Anigbogu,6-10,250,F-C,2018,2019,1998-10-17,n
anslemi01,Michael Ansley,6-7,225,F,1990,1992,1967-02-08,n
anstech01,Chris Anstey,7-0,249,C,1998,2000,1975-01-01,n
antetgi01,Giannis Antetokounmpo,6-11,242,F-G,2014,2025,1994-12-06,n
antetko01,Kostas Antetokounmpo,6-10,200,F,2019,2021,1997-11-20,n
antetth01,Thanasis Antetokounmpo,6-7,219,F,2016,2024,1992-07-18,n
anthoca01,Carmelo Anthony,6-7,238,F,2004,2022,1984-05-29,n
anthoco01,Cole Anthony,6-2,185,G,2021,2025,2000-05-15,n
anthogr01,Greg Anthony,6-0,176,G,1992,2002,1967-11-15,n
anthojo01,Joel Anthony,6-9,245,C,2008,2017,1982-08-09,n
anticpe01,Pero Antić,6-11,260,C-F,2014,2015,1982-07-29,n
anunoog01,OG Anunoby,6-7,232,F,2018,2025,1997-07-17,n
applike01,Keith Appling,6-1,185,G,2016,2016,1992-02-13,n
araujra01,Rafael Araújo,6-11,280,C,2005,2007,1980-08-12,n
arcenst01,Stacey Arceneaux,6-4,210,F,1962,1962,1936-02-17,n
archiro01,Robert Archibald,6-11,250,F,2003,2004,1980-03-29,n
architi01,Tiny Archibald,6-1,150,G,1971,1984,1948-09-02,y
arcidry01,Ryan Arcidiacono,6-3,195,G,2018,2024,1994-03-26,n
ardji01,Jim Ard,6-8,215,F-C,1971,1978,1948-09-19,n
arenagi01,Gilbert Arenas,6-4,191,G,2002,2012,1982-01-06,n
arizatr01,Trevor Ariza,6-8,215,F,2005,2022,1985-06-30,n
arizipa01,Paul Arizin,6-4,190,F-G,1951,1962,1928-04-09,y
arlaujo01,Joe Arlauckas,6-9,230,F,1988,1988,1965-07-20,n
armstbj01,B.J. Armstrong,6-2,175,G,1990,2000,1967-09-09,n
armstbo01,Bob Armstrong,6-8,220,C-F,1957,1957,1933-06-17,n
armstbr01,Brandon Armstrong,6-5,188,G,2002,2004,1980-06-16,n
armstcu01,Curly Armstrong,5-11,170,G-F,1949,1951,1918-11-01,n
armstda01,Darrell Armstrong,6-0,170,G,1995,2008,1968-06-22,n
armsthi01,Hilton Armstrong,6-11,235,F-C,2007,2014,1984-11-11,n
armstta01,Tate Armstrong,6-3,175,G,1978,1979,1955-10-05,n
arnelje01,Jesse Arnelle,6-5,220,F,1956,1956,1933-12-30,n
arnetja01,Jay Arnette,6-2,175,G,1964,1966,1938-12-19,n
arnzebo01,Bob Arnzen,6-5,205,F,1970,1974,1947-11-03,n
arroyca01,Carlos Arroyo,6-2,202,G,2002,2011,1979-07-30,n
arthuda01,Darrell Arthur,6-9,235,F,2009,2018,1988-03-25,n
arthujo01,John Arthurs,6-4,185,G,1970,1970,1947-08-15,n
artisja01,Jamel Artis,6-7,213,G-F,2018,2018,1993-01-12,n
asikom01,Ömer Aşık,7-0,255,C,2011,2018,1986-07-04,n
askewvi01,Vincent Askew,6-6,210,G-F,1988,1998,1966-02-28,n
askinke01,Keith Askins,6-7,197,G-F,1991,1999,1967-12-15,n
asmondo01,Don Asmonga,6-2,185,G,1954,1954,1928-02-15,n
athadi01,Dick Atha,6-2,190,G,1956,1958,1931-09-21,n
atkinch01,Chucky Atkins,5-11,160,G,2000,2010,1974-08-14,n
attleal01,Al Attles,6-0,175,G,1961,1971,1936-11-07,y
aubucch01,Chet Aubuchon,5-10,137,G,1947,1947,1916-05-18,n
augmost01,Stacey Augmon,6-8,205,F-G,1992,2006,1968-08-01,n
augusdj01,D.J. Augustin,5-11,183,G,2009,2022,1987-11-10,n
augusja01,James Augustine,6-10,235,F,2007,2008,1984-02-27,n
austiis01,Isaac Austin,6-10,255,C,1992,2002,1969-08-18,n
austijo01,Johnny Austin,6-0,170,G,1967,1968,1944-08-31,n
austike01,Ken Austin,6-9,205,F,1984,1984,1961-07-15,n
avdijde01,Deni Avdija,6-9,210,G-F,2021,2025,2001-01-03,n
aventan01,Anthony Avent,6-9,235,F,1993,2000,1969-10-18,n
averibi01,Bird Averitt,6-1,170,G,1974,1978,1952-07-22,n
averywi01,William Avery,6-2,197,G,2000,2002,1979-08-08,n
awtrede01,Dennis Awtrey,6-10,235,C,1971,1982,1948-02-22,n
ayayijo01,Joel Ayayi,6-5,180,G,2022,2022,2000-03-05,n
ayongu01,Gustavo Ayón,6-10,250,C,2012,2014,1985-04-01,n
pendeje02,Jeff Ayres,6-9,240,F,2010,2016,1987-04-29,n
aytonde01,Deandre Ayton,7-0,250,C,2019,2025,1998-07-23,n
azubuke01,Kelenna Azubuike,6-5,220,G,2007,2012,1983-12-16,n
azubuud01,Udoka Azubuike,6-10,280,C,2021,2024,1999-09-17,n
babbch01,Chris Babb,6-5,225,G,2014,2014,1990-02-14,n
babbilu01,Luke Babbitt,6-9,225,F,2011,2018,1989-06-20,n
babicmi01,Miloš Babić,7-0,240,C-F,1991,1992,1968-11-23,n
bachjo01,Johnny Bach,6-2,180,F-G,1949,1949,1924-07-10,n
bacondw01,Dwayne Bacon,6-6,221,G,2018,2021,1995-08-30,n
baconhe01,Henry Bacon,6-3,205,G,1973,1973,1948-07-05,n
badjiib01,Ibou Badji,7-1,240,C,2024,2024,2002-10-13,n
baechji01,Jim Baechtold,6-4,205,F-G,1953,1957,1927-12-09,n
bagarda01,Dalibor Bagarić,7-1,255,C,2001,2003,1980-02-07,n
baglejo01,John Bagley,6-0,185,G,1983,1994,1960-04-23,n
baglema01,Marvin Bagley III,6-10,235,F-C,2019,2025,1999-03-14,n
baileam01,Amari Bailey,6-5,185,G,2024,2024,2004-02-17,n
baileca01,Carl Bailey,7-0,210,C,1982,1982,1958-04-23,n
bailegu01,Gus Bailey,6-5,185,G-F,1975,1980,1951-02-18,n
baileja01,James Bailey,6-9,220,F-C,1980,1988,1957-05-21,n
baileth01,Thurl Bailey,6-11,215,F-C,1984,1999,1961-04-07,n
baileto01,Toby Bailey,6-6,213,G,1999,2000,1975-11-19,n
bairsca01,Cameron Bairstow,6-9,250,F-C,2015,2016,1990-12-07,n
bakerji01,Jimmie Baker,6-9,220,F,1976,1976,1953-12-25,n
bakerla01,Mark Baker,6-1,175,G,1999,1999,1969-11-11,n
bakerma01,Maurice Baker,6-1,175,G,2005,2005,1979-07-28,n
bakerno01,Norm Baker,6-0,180,G,1947,1947,1923-02-17,n
bakerro01,Ron Baker,6-4,220,G,2017,2019,1993-03-30,n
bakervi01,Vin Baker,6-11,232,F-C,1994,2006,1971-11-23,n
baldwpa01,Patrick Baldwin Jr.,6-9,220,G-F,2023,2025,2002-11-18,n
baldwwa01,Wade Baldwin,6-4,200,G,2017,2019,1996-03-29,n
balkmre01,Renaldo Balkman,6-8,208,F,2007,2012,1984-07-14,n
ballce01,Cedric Ball,6-8,210,F,1991,1991,1968-04-16,n
ballla01,LaMelo Ball,6-7,180,G,2021,2025,2001-08-22,n
balllo01,Lonzo Ball,6-6,190,G,2018,2025,1997-10-27,n
ballagr01,Greg Ballard,6-7,215,F,1978,1989,1955-01-29,n
baltihe01,Herschel Baltimore,6-4,195,F,1947,1947,1921-06-21,n
bambamo01,Mo Bamba,7-0,231,C,2019,2025,1998-05-12,n
banchpa01,Paolo Banchero,6-10,250,F,2023,2025,2002-11-12,n
banede01,Desmond Bane,6-5,215,G,2021,2025,1998-06-25,n
banksge01,Gene Banks,6-7,215,F-G,1982,1987,1959-05-15,n
banksma01,Marcus Banks,6-2,200,G,2004,2011,1981-11-19,n
bankswa01,Walker Banks,6-10,205,C,1971,1971,1947-08-26,n
bannike01,Ken Bannister,6-9,235,F-C,1985,1991,1960-04-01,n
bantomi01,Mike Bantom,6-9,200,F-C,1974,1982,1951-12-03,n
bantoda01,Dalano Banton,6-9,204,G-F,2022,2025,1999-11-07,n
barbeca01,Cat Barber,6-2,190,G,2022,2022,1994-07-25,n
barbejo01,John Barber,6-6,210,F,1957,1957,1927-06-27,n
barbole01,Leandro Barbosa,6-3,194,G,2004,2017,1982-11-28,n
bardost01,Steve Bardo,6-5,190,G,1992,1996,1968-04-05,n
bareajo01,J.J. Barea,5-10,180,G,2007,2020,1984-06-26,n
bargnan01,Andrea Bargnani,7-0,245,F-C,2007,2016,1985-10-26,n
barkecl01,Cliff Barker,6-2,185,G,1950,1952,1921-01-15,n
barketo01,Tom Barker,6-11,225,C-F,1977,1979,1955-03-11,n
barklch01,Charles Barkley,6-6,252,F,1985,2000,1963-02-20,y
barkler01,Erick Barkley,6-1,177,G,2001,2002,1978-02-21,n
barksdo01,Don Barksdale,6-6,200,F-C,1952,1955,1923-03-31,y
barlodo01,Dominick Barlow,6-9,221,F,2023,2025,2003-05-26,n
barneha02,Harrison Barnes,6-8,225,F,2013,2025,1992-05-30,n
barneha01,Harry Barnes,6-3,205,F,1969,1969,1945-07-25,n
barneji01,Jim Barnes,6-8,210,C-F,1965,1971,1941-04-13,n
barnema01,Marvin Barnes,6-8,210,F-C,1975,1980,1952-07-27,n
barnema02,Matt Barnes,6-7,226,F,2004,2017,1980-03-09,n
barnesc01,Scottie Barnes,6-7,227,G-F,2022,2025,2001-08-01,n
barnedi01,Dick Barnett,6-4,190,G-F,1960,1974,1936-10-02,y
barneji02,Jim Barnett,6-4,170,G-F,1967,1977,1944-07-07,n
barnena01,Nate Barnett,6-3,175,G,1976,1976,1953-01-29,n
barnhjo01,John Barnhill,6-1,180,G,1963,1972,1938-03-20,n
barnhno01,Norton Barnhill,6-4,205,G,1977,1977,1953-07-15,n
barnhle01,Leo Barnhorst,6-4,190,F-G,1950,1954,1924-05-11,n
barrjo01,John Barr,6-3,205,F,1947,1947,1918-08-18,n
barrmi01,Mike Barr,6-3,180,G,1973,1977,1950-10-19,n
barrmo01,Moe Barr,6-4,195,G,1971,1971,1944-06-19,n
barrean01,Andre Barrett,5-10,172,G,2005,2008,1982-02-21,n
barreer01,Ernie Barrett,6-3,180,G-F,1954,1956,1929-08-27,n
barremi01,Mike Barrett,6-2,155,G,1970,1973,1943-09-05,n
barrerj01,RJ Barrett,6-6,214,G-F,2020,2025,2000-06-14,n
barroea01,Earl Barron,7-0,250,C,2006,2015,1981-08-14,n
barroda01,Dana Barros,5-11,163,G,1990,2004,1967-04-13,n
barrybr01,Brent Barry,6-6,185,G,1996,2009,1971-12-31,n
barrydr01,Drew Barry,6-5,191,G,1998,2000,1973-02-17,n
barryjo01,Jon Barry,6-4,195,G,1993,2006,1969-07-25,n
barryri01,Rick Barry,6-7,205,F,1966,1980,1944-03-28,y
barteed01,Ed Bartels,6-5,195,F,1950,1951,1925-10-08,n
bartovi01,Vic Bartolome,7-0,230,C,1972,1972,1948-09-29,n
bartowi01,Will Barton,6-5,181,G,2013,2023,1991-01-06,n
basdeed01,Eddie Basden,6-5,215,G,2006,2006,1983-02-15,n
baskeje01,Jerry Baskerville,6-7,190,F,1976,1976,1951-11-10,n
bassbr01,Brandon Bass,6-8,250,F,2006,2017,1985-04-30,n
basspa01,Paris Bass,6-8,200,F,2022,2022,1995-08-29,n
basseti01,Tim Bassett,6-8,225,F-C,1974,1980,1951-04-01,n
bassech01,Charles Bassey,6-10,235,C,2022,2025,2000-10-28,n
bastoma01,Maceo Baston,6-9,215,F,2003,2009,1975-05-29,n
bateeme01,Mengke Bateer,6-11,290,C,2002,2004,1975-11-20,n
batesbi01,Billy Ray Bates,6-4,210,G,1980,1983,1956-05-31,n
batesem01,Emoni Bates,6-10,170,G,2024,2025,2004-01-28,n
bateske01,Keita Bates-Diop,6-8,229,F,2019,2024,1996-01-23,n
batises01,Esteban Batista,6-10,270,F-C,2006,2007,1983-09-02,n
batismi01,Mike Batiste,6-8,225,F,2003,2003,1977-11-21,n
battito01,Tony Battie,6-11,230,C-F,1998,2012,1976-02-11,n
battish01,Shane Battier,6-8,220,F,2002,2014,1978-09-09,n
battlja01,Jamison Battle,6-7,220,F,2025,2025,2001-05-10,n
battljo01,John Battle,6-2,175,G,1986,1995,1962-11-09,n
battlke01,Kenny Battle,6-6,210,F,1990,1993,1964-10-10,n
battoda01,Dave Batton,6-10,240,C,1983,1984,1956-03-26,n
battsll01,Lloyd Batts,6-4,185,G-F,1975,1975,1951-05-09,n
batumni01,Nicolas Batum,6-8,230,F-G,2009,2025,1988-12-14,n
baughda01,Damion Baugh,6-4,194,G,2025,2025,2000-08-03,n
baumjo01,Johnny Baum,6-5,200,F,1970,1974,1946-06-17,n
baumhfr01,Frankie Baumholtz,5-10,170,G,1947,1947,1918-10-07,n
baxtelo01,Lonny Baxter,6-8,260,F,2003,2006,1979-01-27,n
bayleje01,Jerryd Bayless,6-3,200,G,2009,2019,1988-08-20,n
bayloel01,Elgin Baylor,6-5,225,F,1959,1972,1934-09-16,y
bayneho01,Howard Bayne,6-6,235,F,1968,1968,1942-07-28,n
baynear01,Aron Baynes,6-10,260,C,2013,2021,1986-12-09,n
bazarse01,Sergei Bazarevich,6-2,168,G,1995,1995,1965-03-16,n
bazemke01,Kent Bazemore,6-4,195,G-F,2013,2022,1989-07-01,n
bazleda01,Darius Bazley,6-8,208,F,2020,2024,2000-06-12,n
beached01,Ed Beach,6-3,200,F,1951,1951,1929-01-25,n
bealbr01,Bradley Beal,6-4,207,G,2013,2025,1993-06-28,n
beardal01,Al Beard,6-9,200,C,1968,1968,1942-04-27,n
beardbu01,Butch Beard,6-3,185,G,1970,1979,1947-05-04,n
beardra01,Ralph Beard,5-10,175,G,1950,1951,1927-12-02,n
beaslch01,Charlie Beasley,6-5,190,G-F,1968,1971,1945-09-23,n
beaslje01,Jerome Beasley,6-10,237,F,2004,2004,1980-05-17,n
beasljo01,John Beasley,6-9,225,F-C,1968,1974,1944-02-05,n
beaslma01,Malik Beasley,6-4,187,G,2017,2025,1996-11-26,n
beaslmi01,Michael Beasley,6-9,235,F,2009,2019,1989-01-09,n
beatyze01,Zelmo Beaty,6-9,225,C,1963,1975,1939-10-25,y
beaubro01,Rodrigue Beaubois,6-0,170,G,2010,2013,1988-02-24,n
beaucma01,MarJon Beauchamp,6-6,199,G,2023,2025,2000-10-12,n
beckby01,Byron Beck,6-9,225,C-F,1968,1977,1945-01-25,n
beckco01,Corey Beck,6-1,190,G,1996,1999,1971-05-27,n
becker01,Ernie Beck,6-4,190,G-F,1954,1961,1931-12-11,n
beckear01,Art Becker,6-7,205,F,1968,1973,1942-01-12,n
beckemo01,Moe Becker,6-1,185,G-F,1947,1947,1917-02-24,n
bedelbo01,Bob Bedell,6-7,205,F,1968,1971,1944-06-26,n
bedfowi01,William Bedford,7-0,225,C,1987,1993,1963-12-14,n
beekmre01,Reece Beekman,6-1,190,G,2025,2025,2001-10-08,n
beendha01,Hank Beenders,6-6,185,C-F,1947,1949,1916-06-02,n
behagro01,Ron Behagen,6-9,185,F-C,1974,1980,1951-01-14,n
behnkel01,Elmer Behnke,6-7,210,C,1952,1952,1929-02-03,n
belinma01,Marco Belinelli,6-5,220,G-F,2008,2020,1986-03-25,n
bellch01,Charlie Bell,6-3,200,G,2002,2011,1979-03-12,n
bellde01,Dennis Bell,6-5,185,F,1974,1976,1951-06-02,n
belljo01,Jordan Bell,6-8,216,F,2018,2022,1995-01-07,n
bellra01,Raja Bell,6-5,204,G,2001,2012,1976-09-19,n
belltr01,Troy Bell,6-1,180,G,2004,2004,1980-11-10,n
bellwh01,Whitey Bell,6-0,180,G,1960,1961,1932-09-13,n
bellawa01,Walt Bellamy,6-11,225,C,1962,1975,1939-07-24,y
bembrde01,DeAndre' Bembry,6-5,210,F,2017,2022,1994-07-04,n
bemorir01,Irv Bemoras,6-3,185,F-G,1954,1957,1930-11-18,n
benbole01,Leon Benbow,6-4,185,G,1975,1976,1950-07-23,n
bendedr01,Dragan Bender,7-0,225,F,2017,2020,1997-11-17,n
bendejo01,Jonathan Bender,6-11,202,F,2000,2010,1981-01-30,n
benimje01,Jerrelle Benimon,6-8,245,F,2015,2015,1991-08-01,n
benjabe01,Benoit Benjamin,7-0,250,C,1986,2000,1964-11-22,n
benjaco01,Corey Benjamin,6-6,200,G,1999,2003,1978-02-24,n
bennean01,Anthony Bennett,6-8,245,F,2014,2017,1993-03-14,n
benneel01,Elmer Bennett,6-0,170,G,1995,1997,1970-02-13,n
bennema01,Mario Bennett,6-6,235,F,1996,2000,1973-08-01,n
benneme01,Mel Bennett,6-7,200,F,1976,1982,1955-01-04,n
bennesp01,Spider Bennett,6-3,190,G,1969,1969,1943-08-04,n
benneto01,Tony Bennett,6-0,175,G,1993,1995,1969-06-01,n
bennewi01,Winston Bennett,6-7,210,F,1990,1992,1965-02-09,n
benoida01,David Benoit,6-8,220,F,1992,2001,1968-05-09,n
bensoke02,Keith Benson,6-11,240,C,2012,2012,1988-08-13,n
bensoke01,Kent Benson,6-10,235,C,1978,1988,1954-12-27,n
bentibe01,Ben Bentil,6-9,235,F,2017,2017,1995-03-29,n
bercege01,Gene Berce,5-11,175,G-F,1950,1950,1926-11-22,n
bergega01,Gary Bergen,6-8,210,C,1957,1957,1932-07-16,n
berghla01,Larry Bergh,6-8,210,F,1970,1970,1945-04-02,n
bernaju01,Jules Bernard,6-7,210,F,2024,2024,2000-01-21,n
berryri01,Ricky Berry,6-8,205,F,1989,1989,1964-10-06,n
berrywa01,Walter Berry,6-8,215,F,1987,1989,1964-05-14,n
bertada02,Dairis Bertāns,6-4,200,G,2019,2019,1989-09-09,n
bertada01,Dāvis Bertāns,6-10,225,F,2017,2024,1992-11-12,n
beshode01,Del Beshore,5-11,165,G,1979,1980,1956-11-29,n
besttr01,Travis Best,5-11,182,G,1996,2005,1972-07-12,n
beverpa01,Patrick Beverley,6-2,180,G,2013,2024,1988-07-12,n
beysa01,Saddiq Bey,6-7,215,F,2021,2024,1999-04-09,n
beyty01,Tyler Bey,6-7,215,F,2021,2021,1998-02-10,n
bhullsi01,Sim Bhullar,7-5,360,C,2015,2015,1992-12-02,n
bialowe01,Wes Bialosuknia,6-2,185,G,1968,1968,1945-06-08,n
biancal01,Al Bianchi,6-3,185,G,1957,1966,1932-03-26,n
biasaha01,Hank Biasatti,5-11,175,G,1947,1947,1922-01-14,n
bibbyhe01,Henry Bibby,6-1,185,G,1973,1981,1949-11-24,n
bibbymi01,Mike Bibby,6-1,190,G,1999,2012,1978-05-13,n
biedeed01,Ed Biedenbach,6-1,175,G,1969,1969,1945-08-12,n
biedran01,Andris Biedriņš,6-11,240,C,2005,2014,1986-04-02,n
bielkdo01,Don Bielke,6-7,240,C,1956,1956,1932-05-10,n
bigelbo01,Bob Bigelow,6-7,215,F-G,1976,1979,1953-12-26,n
billili01,Lionel Billingy,6-9,215,F-C,1975,1975,1952-08-31,n
billuch01,Chauncey Billups,6-3,202,G,1998,2014,1976-09-25,y
bingda01,Dave Bing,6-3,180,G,1967,1978,1943-11-24,y
biniojo01,Joe Binion,6-8,235,F,1987,1987,1961-03-26,n
birchkh01,Khem Birch,6-9,233,C-F,2018,2023,1992-09-28,n
